read;ins;del;sub
379;0.0347;0.0521;0.0372
380;0.0819;0.1229;0.0878
381;0.0471;0.0707;0.0505
382;0.0834;0.1251;0.0894
383;0.0315;0.0473;0.0338
384;0.0358;0.0538;0.0384
385;0.037;0.0556;0.0397
386;0.0235;0.0353;0.0252
387;0.0328;0.0491;0.0351
388;0.0739;0.1108;0.0792
389;0.0484;0.0726;0.0519
390;0.0354;0.0531;0.0379
391;0.023;0.0345;0.0247
392;0.0481;0.0721;0.0515
393;0.0546;0.0818;0.0585
394;0.0494;0.074;0.0529
395;0.0227;0.0341;0.0244
396;0.0465;0.0697;0.0498
397;0.0309;0.0464;0.0331
398;0.0271;0.0406;0.029
399;0.0315;0.0473;0.0338
400;0.0265;0.0397;0.0284
401;0.0744;0.1116;0.0797
402;0.028;0.042;0.03
403;0.0515;0.0772;0.0551
404;0.0749;0.1123;0.0802
405;0.0406;0.0608;0.0434
406;0.0232;0.0348;0.0249
407;0.0314;0.047;0.0336
408;0.0271;0.0406;0.029
409;0.0393;0.0589;0.0421
410;0.0324;0.0486;0.0347
411;0.0497;0.0745;0.0532
412;0.0304;0.0456;0.0326
413;0.0285;0.0428;0.0306
414;0.044;0.0661;0.0472
415;0.0243;0.0364;0.026
416;0.0247;0.0371;0.0265
417;0.0492;0.0738;0.0527
418;0.0229;0.0343;0.0245
419;0.0286;0.0429;0.0307
420;0.0508;0.0763;0.0545
421;0.0441;0.0661;0.0472
422;0.0383;0.0574;0.041
423;0.0369;0.0554;0.0396
424;0.0243;0.0365;0.0261
425;0.0287;0.043;0.0307
426;0.0215;0.0322;0.023
427;0.0313;0.047;0.0336
428;0.0356;0.0534;0.0382
429;0.0279;0.0419;0.0299
430;0.0264;0.0397;0.0283
431;0.0344;0.0516;0.0368
432;0.0382;0.0573;0.0409
433;0.0516;0.0774;0.0553
434;0.0472;0.0708;0.0506
435;0.0489;0.0734;0.0524
436;0.0413;0.062;0.0443
437;0.0353;0.053;0.0378
438;0.033;0.0495;0.0354
439;0.0667;0.1001;0.0715
440;0.0239;0.0359;0.0256
441;0.0234;0.0351;0.0251
442;0.0314;0.047;0.0336
443;0.0231;0.0347;0.0248
444;0.0239;0.0358;0.0256
445;0.0259;0.0389;0.0278
446;0.0282;0.0424;0.0303
447;0.0211;0.0316;0.0226
448;0.0516;0.0773;0.0552
449;0.0324;0.0485;0.0347
450;0.0761;0.1141;0.0815
451;0.0294;0.0441;0.0315
452;0.0452;0.0678;0.0484
453;0.0419;0.0628;0.0449
454;0.0433;0.0649;0.0464
455;0.0322;0.0483;0.0345
456;0.0211;0.0316;0.0226
457;0.0284;0.0426;0.0304
458;0.0745;0.1118;0.0798
459;0.0578;0.0867;0.0619
460;0.0691;0.1036;0.074
461;0.0449;0.0674;0.0481
462;0.0295;0.0442;0.0316
463;0.017;0.0256;0.0183
464;0.0379;0.0568;0.0406
465;0.0366;0.0548;0.0392
466;0.0307;0.046;0.0329
467;0.0274;0.041;0.0293
468;0.0317;0.0476;0.034
469;0.0236;0.0353;0.0252
470;0.0252;0.0378;0.027
471;0.0409;0.0614;0.0438
472;0.0307;0.0461;0.0329
473;0.0246;0.0369;0.0263
474;0.0192;0.0288;0.0206
475;0.0305;0.0458;0.0327
476;0.0555;0.0832;0.0594
477;0.0272;0.0408;0.0291
478;0.0257;0.0386;0.0276
479;0.0175;0.0263;0.0188
480;0.0776;0.1165;0.0832
481;0.0739;0.1108;0.0792
482;0.0588;0.0882;0.063
483;0.0365;0.0547;0.0391
484;0.0328;0.0492;0.0351
485;0.0225;0.0338;0.0242
486;0.0328;0.0492;0.0351
487;0.0202;0.0303;0.0216
488;0.0807;0.121;0.0865
489;0.0247;0.0371;0.0265
490;0.0518;0.0776;0.0555
491;0.051;0.0765;0.0546
492;0.0501;0.0752;0.0537
493;0.0495;0.0742;0.053
494;0.0352;0.0527;0.0377
495;0.0386;0.0579;0.0413
496;0.0306;0.0458;0.0327
497;0.0364;0.0547;0.039
498;0.0307;0.046;0.0329
499;0.068;0.1021;0.0729
500;0.0277;0.0416;0.0297
501;0.0444;0.0666;0.0476
502;0.0795;0.1193;0.0852
503;0.0252;0.0378;0.027
504;0.0409;0.0614;0.0438
505;0.0531;0.0797;0.0569
506;0.0504;0.0756;0.054
507;0.0337;0.0505;0.0361
508;0.03;0.045;0.0321
509;0.0432;0.0648;0.0463
510;0.0248;0.0371;0.0265
511;0.0429;0.0644;0.046
512;0.0222;0.0333;0.0238
513;0.0756;0.1133;0.081
514;0.0296;0.0444;0.0317
515;0.0319;0.0478;0.0342
516;0.0506;0.0758;0.0542
517;0.0274;0.0411;0.0293
518;0.02;0.03;0.0214
519;0.0376;0.0564;0.0403
520;0.0394;0.0591;0.0422
521;0.0388;0.0581;0.0415
522;0.0228;0.0342;0.0244
523;0.0281;0.0422;0.0301
524;0.0424;0.0636;0.0454
525;0.0454;0.068;0.0486
526;0.0447;0.0671;0.0479
527;0.0421;0.0631;0.0451
528;0.0328;0.0493;0.0352
529;0.0377;0.0566;0.0404
530;0.0279;0.0418;0.0299
531;0.0384;0.0575;0.0411
532;0.0595;0.0893;0.0638
533;0.0295;0.0442;0.0316
