read;ins;del;sub
73224;0.013;0.0203;0.0391
73225;0.0006;0.0009;0.0017
73226;0.0031;0.0048;0.0093
73227;0.0114;0.0177;0.0341
73228;0.0045;0.0071;0.0136
73229;0.0016;0.0024;0.0047
73230;0.0006;0.0009;0.0018
73231;0.0028;0.0043;0.0083
73232;0.0015;0.0024;0.0046
73233;0.0012;0.0019;0.0036
73234;0.0038;0.0059;0.0115
73235;0.0035;0.0055;0.0106
73236;0.0041;0.0064;0.0122
73237;0.0043;0.0066;0.0128
73238;0.0013;0.0021;0.004
73239;0.0068;0.0105;0.0203
73240;0.0052;0.0081;0.0156
73241;0.0009;0.0013;0.0026
73242;0.0017;0.0027;0.0052
73243;0.0021;0.0032;0.0062
73244;0.0012;0.0018;0.0035
73245;0.009;0.0141;0.0271
73246;0.0022;0.0034;0.0065
73247;0.0043;0.0067;0.0129
73248;0.002;0.0031;0.0059
73249;0.0002;0.0003;0.0006
73250;0.0018;0.0027;0.0053
73251;0.0059;0.0093;0.0178
73252;0.005;0.0078;0.015
73253;0.0032;0.005;0.0096
73254;0.0016;0.0025;0.0048
73255;0.0017;0.0027;0.0052
73256;0.0025;0.004;0.0076
73257;0.0024;0.0037;0.0072
73258;0.0032;0.0049;0.0095
73259;0.0031;0.0048;0.0093
73260;0.0013;0.0021;0.004
73261;0.0005;0.0008;0.0015
73262;0.0028;0.0044;0.0085
73263;0.0016;0.0025;0.0049
73264;0.0037;0.0058;0.0112
73265;0.0051;0.0079;0.0152
73266;0.0013;0.0021;0.004
73267;0.002;0.0031;0.006
73268;0.0022;0.0034;0.0066
73269;0.0019;0.003;0.0057
73270;0.0091;0.0142;0.0274
73271;0.0055;0.0085;0.0165
73272;0.0033;0.0052;0.01
73273;0.0055;0.0086;0.0166
73274;0.0061;0.0096;0.0184
73275;0.0027;0.0042;0.0082
73276;0.0033;0.0051;0.0098
73277;0.0018;0.0028;0.0054
73278;0.0049;0.0076;0.0147
73279;0.0014;0.0021;0.0041
73280;0.0032;0.0049;0.0095
73281;0.0053;0.0082;0.0159
73282;0.0015;0.0023;0.0045
73283;0.0067;0.0104;0.0201
73284;0.0137;0.0213;0.041
73285;0.0014;0.0022;0.0042
73286;0.0016;0.0025;0.0049
73287;0.0057;0.0088;0.017
73288;0.0039;0.006;0.0116
73289;0.0046;0.0071;0.0137
73290;0.0022;0.0034;0.0065
73291;0.011;0.0171;0.033
73292;0.0019;0.003;0.0057
73293;0.0033;0.0051;0.0098
73294;0.0003;0.0004;0.0008
73295;0.0023;0.0036;0.0069
73296;0.0016;0.0025;0.0048
73297;0.0012;0.0018;0.0035
73298;0.0051;0.008;0.0153
73299;0.0066;0.0102;0.0197
73300;0.003;0.0046;0.0089
73301;0.0026;0.0041;0.0079
73302;0.0039;0.006;0.0116
73303;0.0057;0.0089;0.0172
73304;0.0013;0.002;0.0039
73305;0.0027;0.0041;0.008
73306;0.002;0.003;0.0059
73307;0.0034;0.0052;0.0101
73308;0.0033;0.0052;0.01
73309;0.0043;0.0067;0.013
73310;0.0006;0.0009;0.0018
73311;0.0019;0.0029;0.0056
73312;0.0039;0.0061;0.0118
73313;0.0034;0.0052;0.0101
73314;0.0017;0.0027;0.0052
73315;0.002;0.0031;0.0059
73316;0.0051;0.008;0.0154
73317;0.0015;0.0023;0.0044
73318;0.0024;0.0037;0.0071
73319;0.0057;0.0089;0.0171
73320;0.0032;0.005;0.0096
73321;0.0066;0.0102;0.0197
73322;0.0035;0.0054;0.0104
73323;0.0017;0.0027;0.0052
73324;0.0017;0.0027;0.0051
73325;0.0032;0.0049;0.0095
73326;0.0027;0.0042;0.0082
73327;0.0034;0.0052;0.0101
